,mem,page,total
9140,1479596,14122084,16154008
9141,1482664,14114028,16149120
9142,1485832,14127424,16165216
9143,1488908,14117696,16157960
9144,1492012,14107536,16151512
9145,1494424,14047772,16095004
9146,1494424,14062100,16108528
9147,1494424,14077172,16123892
9148,1494424,14092196,16138232
9149,1494424,14105564,16151052
9150,1494424,14118440,16165624
9151,1494116,14107756,16155508
9152,1494112,14099588,16146348
9153,1494112,14111900,16159564
9154,1493720,14103628,16149516
9155,1493720,14116160,16161976
9157,1493460,14105308,16151596
9158,1493460,14119512,16165664
9159,1493188,14109628,16155432
9160,1493188,14122860,16170232
9161,1492892,14112840,16159984
9162,1492540,14102924,16151752
9163,1492540,14115576,16163708
9164,1492132,14106140,16152052
9165,1492132,14121840,16167128
9166,1491804,14112724,16157944
9167,1473244,14118476,16144976
9168,1471968,14127300,16151412
9169,1467912,14024672,16046320
9170,1467132,14126652,16145616
9171,1466676,14133612,16152492
9172,1466676,13960512,15981684
9173,1466664,14084936,16103840
9174,1466384,13880416,15899620
9175,1466384,13994624,16012292
9176,1467172,14111760,16129796
9177,1465948,14135388,16154956
9178,1465488,14142284,16160400
