,mem,page,total
294,2071852,13736564,16161496
295,2069696,13343372,15767064
296,2075632,13546744,15976340
297,2081176,13710660,16144452
298,2081980,13490576,15928272
299,2088760,13713220,16156120
300,2091400,13718428,16162368
301,2089028,13434392,15876468
302,2089156,13613580,16056772
303,2090212,13718160,16151700
304,2090476,13711224,16154348
305,2090120,13621920,16065764
306,2091704,13725688,16170096
307,2094148,13630424,16079872
308,2090580,13703768,16150988
309,2091372,13717576,16163664
310,2093604,13575756,16025276
311,2093732,13722172,16169012
312,2091356,13720108,16167420
313,2093476,13553100,16002320
314,2070916,13675764,16102532
315,2068276,13741984,16166304
316,2070424,13564984,15990804
317,2068704,13738672,16161696
318,2068968,13735452,16158100
319,2072544,13581052,16009372
320,2069504,13738880,16165624
321,2070560,13725756,16153224
322,2070240,13582796,16010976
323,2071296,13736116,16152748
325,2073144,13742084,16150912
326,2078160,13724220,16158548
327,2085764,13471112,15912664
328,2087212,13645856,16089916
329,2093548,13713372,16162952
330,2098780,13483448,15939176
331,2095460,13455224,15908424
332,2094272,13556596,16008532
333,2096712,13635916,16088972
334,2098296,13711628,16165728
335,2097360,13405816,15861244
336,2097488,13606100,16059536
337,2098016,13714200,16169692
338,2101184,13710472,16167448
339,2099572,13486924,15942872
340,2100628,13627308,16083356
341,2101004,13607828,16064732
342,2102060,13711180,16168696
343,2103644,13706576,16165584
344,2101748,13584196,16041532
345,2102276,13711460,16168596
346,2075116,13709944,16141732
347,2076244,13579400,16011440
348,2073204,13726316,16153780
349,2073532,13474884,15905072
350,2074452,13687616,16117004
351,2076828,13722960,16152568
352,2081176,13453108,15888208
353,2091600,13658384,16103524
354,2095824,13710252,16160340
355,2103856,13401848,15860828
356,2106132,13597372,16059796
357,2103228,13709760,16169376
358,2105256,13526392,15988628
359,2103800,13708572,16166960
360,2104592,13706968,16167092
361,2108396,13536992,15997320
362,2105620,13703212,16151440
363,2108260,13693440,16155692
364,2106148,13577696,16039492
366,2107464,13691292,16153864
367,2086016,13709604,16149224
368,2083852,13617564,16057380
369,2085436,13729200,16171088
370,2084172,13447404,15887956
371,2085884,13669052,16109280
372,2084300,13719296,16158256
373,2086676,13729180,16169964
374,2084784,13343464,15783868
375,2090984,13521724,15967608
376,2098904,13710264,16163468
377,2100688,13464956,15921024
378,2107152,13700740,16160788
379,2110320,13699140,16164816
380,2107028,13420860,15884556
381,2109928,13528360,15992044
382,2108964,13509292,15974016
383,2108964,13615480,16081280
384,2111984,13473972,15940476
385,2110716,13573672,16038820
386,2111768,13686428,16151184
387,2114112,13455792,15927464
388,2115428,13576412,16046772
389,2114112,13679280,16149232
390,2116264,13479940,15951352
391,2117580,13593820,16065400
392,2118652,13501864,15977012
393,2116252,13694116,16166412
394,2092200,13708620,16156592
395,2094212,13555992,16008016
396,2091812,13705548,16154776
397,2094184,13714960,16164828
398,2091524,13407456,15857016
399,2092052,13415524,15864876
400,2100236,13423308,15880240
401,2108420,13431368,15895184
402,2114756,13402112,15873412
403,2114756,13409288,15880468
404,2114756,13416108,15886728
405,2115020,13422988,15893840
406,2115020,13429884,15900332
408,2115020,13436540,15906832
409,2115020,13443544,15914088
410,2115020,13450548,15920876
411,2115020,13457196,15928504
412,2091512,13449236,15896636
413,2091640,13448768,15894952
414,2092692,13571284,16018968
415,2091640,13674524,16122388
416,2095596,13518188,15968480
417,2098236,13620232,16072452
418,2109180,13436376,15901888
419,2117364,13409868,15883552
420,2117364,13418804,15892648
421,2117364,13427772,15901332
422,2117628,13436788,15911308
423,2117628,13445720,15919840
424,2117628,13454788,15928652
425,2117628,13463596,15938300
426,2093128,13434580,15886400
427,2093128,13442536,15893716
428,2093128,13449856,15900440
429,2093128,13457356,15907636
430,2093128,13465012,15915036
431,2093128,13472188,15922124
432,2100784,13479800,15936724
433,2108440,13487228,15951248
434,2115832,13519972,15991028
435,2116360,13464140,15937732
436,2116360,13470488,15944016
437,2116360,13477008,15950360
438,2116624,13483244,15956320
439,2116624,13489852,15963080
440,2116624,13496044,15969188
441,2116624,13502400,15974752
442,2116624,13508976,15982068
443,2116624,13515148,15988844
444,2093224,13513020,15963736
445,2094780,13514004,15966096
446,2095596,13629472,16080504
447,2094068,13599512,16051092
448,2095228,13511284,15962848
449,2098392,13633904,16088648
451,2107636,13696404,16164088
452,2121336,13514024,15989996
453,2122352,13543220,16020668
454,2122216,13368748,15847476
455,2122480,13377920,15857272
456,2122480,13387448,15866392
457,2122480,13396820,15874652
458,2122480,13406244,15884276
459,2096876,13377988,15830276
460,2096876,13385980,15838120
461,2096876,13393928,15845972
462,2096876,13401960,15854264
463,2096876,13409544,15862368
464,2097404,13417500,15870448
465,2105324,13425240,15885828
466,2113508,13433084,15901852
467,2120384,13403352,15879812
468,2120384,13410256,15885804
469,2120384,13417028,15892964
470,2120384,13423540,15899256
471,2120648,13430428,15906628
472,2120648,13437024,15913148
473,2120648,13443620,15919432
474,2120648,13450368,15925860
475,2120648,13456996,15933176
476,2120648,13469636,15945316
477,2097224,13518948,15972212
