,mem,page,total
3002,2168092,13376912,15779924
3003,2173636,13390296,15798328
3004,2179180,13403140,15817212
3005,2181820,13377400,15794232
3006,2181820,13388740,15805572
3007,2181820,13400296,15816384
3008,2182084,13411952,15827608
3009,2182084,13424268,15840112
3010,2182084,13435548,15851752
3011,2182084,13446492,15862768
3012,2182084,13458384,15874424
3013,2182084,13470356,15887892
3014,2182084,13481280,15897884
3015,2182084,13491788,15909264
3016,2182084,13502312,15919312
3017,2182084,13512936,15930220
3018,2164672,13485848,15885488
3019,2164672,13495688,15894860
3020,2164672,13505880,15904924
3021,2164672,13515780,15914476
3022,2164672,13525488,15924556
3023,2164672,13535236,15934416
3024,2164672,13544600,15944000
3025,2164672,13553536,15952828
3026,2164672,13562864,15962136
3028,2164672,13572060,15971452
3029,2167312,13580604,15983076
3030,2172064,13589812,15996724
3031,2176816,13598896,16010552
3032,2181304,13626972,16043300
3033,2181832,13578256,15994544
3034,2181832,13586480,16002860
3035,2181832,13594416,16011160
3036,2181832,13602124,16019468
3037,2182096,13610176,16027288
3038,2182096,13618000,16035092
3039,2182096,13625584,16043140
3040,2182096,13633976,16052400
3041,2182096,13642144,16060448
3042,2182096,13650092,16069336
3043,2182096,13658108,16077044
3044,2182096,13665888,16084452
3045,2182096,13673716,16092100
3046,2182096,13681480,16100408
3047,2182096,13715060,16132300
3048,2164884,13754308,16152652
3049,2164884,13646000,16046936
3050,2164884,13740616,16138800
3051,2164884,13617516,16018020
3052,2164884,13713116,16112224
3053,2164868,13763944,16162228
3054,2164724,13583844,15981736
3055,2164724,13676248,16075072
3056,2164560,13766048,16163624
3057,2164492,13472292,15869924
3058,2164760,13582804,15981144
3059,2166080,13674808,16074396
3060,2171356,13751076,16153588
3061,2178068,13528000,15937608
3062,2183084,13588056,16002152
3063,2186252,13439300,15859048
3064,2187540,13537068,15957456
3065,2188860,13627372,16049032
3066,2187540,13391808,15812028
3067,2187804,13403332,15823604
3068,2187804,13414504,15834756
3069,2187804,13425656,15845836
3070,2187804,13437400,15856640
3072,2187804,13448760,15869176
3073,2187804,13460284,15880288
3074,2187804,13472128,15892392
3075,2187804,13483172,15902148
3076,2169368,13455204,15858096
3077,2169368,13465892,15867916
3078,2169368,13475560,15877436
3079,2169368,13485352,15887240
3080,2169368,13495300,15896768
3081,2169368,13505224,15906100
3082,2169368,13514684,15915392
3083,2169368,13523816,15924488
3084,2169368,13532808,15933480
3085,2172008,13541648,15945088
3086,2177024,13550544,15958468
3087,2182304,13559296,15972848
3088,2186528,13530972,15948364
3089,2186528,13539120,15956136
3090,2186528,13546996,15964272
3091,2186528,13555080,15972344
3092,2186792,13563016,15980180
3093,2186792,13570520,15987740
3094,2186792,13578332,15995740
3095,2186792,13585848,16003592
3096,2186792,13593684,16012744
3097,2186792,13601052,16021064
3098,2186792,13609028,16028548
3099,2186792,13616552,16036452
3100,2186792,13624148,16044416
3101,2186792,13631736,16051168
3102,2170380,13610460,16015608
3103,2170492,13607376,16010660
3104,2170492,13723100,16124344
3105,2170460,13574324,15977428
3106,2170460,13690092,16093104
3107,2170368,13754492,16157656
3108,2169720,13759864,16161160
3109,2169720,13425276,15828224
3110,2169720,13437636,15840456
3111,2169720,13448808,15851236
3112,2174996,13459620,15867648
3113,2181860,13471500,15885524
3114,2187668,13444936,15864992
3116,2187668,13455236,15876152
3117,2187668,13465364,15886720
3118,2187932,13475336,15897076
3119,2187932,13485136,15907196
3120,2187932,13494796,15917008
3121,2187932,13504564,15926292
3122,2187932,13514260,15936892
3123,2187932,13523716,15946224
3124,2187932,13533328,15955752
3125,2187932,13542940,15964352
3126,2169496,13514428,15916936
3127,2169496,13523000,15925592
3128,2169496,13531184,15933916
3129,2169496,13539584,15941980
3130,2169496,13548236,15951012
3131,2169496,13555828,15958280
3132,2169496,13563812,15965572
